"kategorie nieliczbowe";"campaign";"contact";"default";"education";"job";"marital";"month";"pdays";"poutcome";"previous";"Rok";"przedzial_czas rozmowy";"przedzial_wiek";"przedzial_emp.var.rate";"przedzial_cons.price.idx";"przedzial_cons.conf.idx";"przedzial_euribor3m";"przedzial_nr.employed";"y"
"entrepreneur";3.0;"telephone";"no";"university.degree";"entrepreneur";"single";"jun";999.0;"nonexistent";0.0;2008;"0-1229.5";"0-30.5";">21959.5";"'(94.339333-inf)'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"technician";7.0;"telephone";"no";"basic.6y";"technician";"single";"jul";999.0;"nonexistent";0.0;2008;"'(1229.5-2459]'";"0-30.5";">21959.5";"'(93.911667-94.339333]'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"admin.";7.0;"telephone";"no";"high.school";"admin.";"single";"jun";999.0;"nonexistent";0.0;2008;"'(1229.5-2459]'";"0-30.5";">21959.5";"'(94.339333-inf)'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"blue-collar";3.0;"telephone";"no";"high.school";"blue-collar";"single";"jun";999.0;"nonexistent";0.0;2008;"'(1229.5-2459]'";"0-30.5";">21959.5";"'(94.339333-inf)'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"services";3.0;"telephone";"no";"high.school";"services";"single";"jun";999.0;"nonexistent";0.0;2008;"0-1229.5";"0-30.5";">21959.5";"'(94.339333-inf)'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"admin.";17.0;"telephone";"no";"university.degree";"admin.";"single";"jun";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(94.339333-inf)'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"blue-collar";11.0;"telephone";"no";"basic.9y";"blue-collar";"single";"jul";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(93.911667-94.339333]'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"self-employed";3.0;"telephone";"no";"university.degree";"self-employed";"single";"jun";999.0;"nonexistent";0.0;2008;"'(2459-3688.5]'";"0-30.5";">21959.5";"'(94.339333-inf)'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"admin.";1.0;"telephone";"no";"high.school";"admin.";"single";"jun";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(94.339333-inf)'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"blue-collar";1.0;"telephone";"no";"high.school";"blue-collar";"single";"jun";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(94.339333-inf)'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"technician";1.0;"telephone";"no";"professional.course";"technician";"single";"jun";999.0;"nonexistent";0.0;2008;"'(1229.5-2459]'";"'(30.5-44]'";">21959.5";"'(94.339333-inf)'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"technician";1.0;"telephone";"no";"university.degree";"technician";"single";"aug";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(93.056333-93.484]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"admin.";1.0;"telephone";"no";"high.school";"admin.";"single";"mar";999.0;"nonexistent";0.0;2009;"0-1229.5";"0-30.5";;"'(92.628667-93.056333]'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"technician";4.0;"telephone";"no";"professional.course";"technician";"single";"jul";999.0;"nonexistent";0.0;2009;"0-1229.5";"0-30.5";;"'(-inf-92.628667]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(5029.725-5095.85]'";"yes"
"technician";2.0;"telephone";"no";"university.degree";"technician";"single";"mar";999.0;"nonexistent";0.0;2009;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"admin.";1.0;"telephone";"no";"university.degree";"admin.";"single";"nov";999.0;"nonexistent";0.0;2009;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"blue-collar";1.0;"telephone";"no";"high.school";"blue-collar";"single";"apr";999.0;"nonexistent";0.0;2009;"0-1229.5";"0-30.5";;"'(93.056333-93.484]'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"unknown";2.0;"telephone";"no";"university.degree";"unknown";"single";"apr";999.0;"nonexistent";0.0;2009;"0-1229.5";"0-30.5";;"'(93.056333-93.484]'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"admin.";1.0;"telephone";"no";"university.degree";"admin.";"single";"aug";999.0;"nonexistent";0.0;2009;"0-1229.5";"'(30.5-44]'";;"'(-inf-92.628667]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(5029.725-5095.85]'";"yes"
"technician";1.0;"telephone";"no";"university.degree";"technician";"single";"aug";999.0;"nonexistent";0.0;2009;"0-1229.5";"0-30.5";;"'(-inf-92.628667]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(5029.725-5095.85]'";"yes"
"admin.";3.0;"telephone";"no";"university.degree";"admin.";"single";"oct";999.0;"nonexistent";0.0;2009;"0-1229.5";"'(30.5-44]'";;"'(-inf-92.628667]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"admin.";4.0;"telephone";"no";"university.degree";"admin.";"single";"oct";999.0;"nonexistent";0.0;2009;"0-1229.5";"0-30.5";;"'(-inf-92.628667]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"student";3.0;"telephone";"no";"basic.9y";"student";"single";"oct";999.0;"nonexistent";0.0;2009;"0-1229.5";"0-30.5";;"'(-inf-92.628667]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"services";1.0;"telephone";"no";"professional.course";"services";"single";"oct";999.0;"nonexistent";0.0;2009;"0-1229.5";"'(30.5-44]'";;"'(-inf-92.628667]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"technician";2.0;"telephone";"no";"university.degree";"technician";"single";"apr";999.0;"nonexistent";0.0;2009;"0-1229.5";"'(30.5-44]'";;"'(93.056333-93.484]'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"unemployed";3.0;"telephone";"no";"university.degree";"unemployed";"single";"apr";999.0;"nonexistent";0.0;2009;"0-1229.5";"0-30.5";;"'(93.056333-93.484]'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"admin.";1.0;"telephone";"no";"university.degree";"admin.";"single";"aug";999.0;"nonexistent";0.0;2009;"0-1229.5";"'(30.5-44]'";;"'(-inf-92.628667]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(5029.725-5095.85]'";"yes"
"admin.";6.0;"telephone";"no";"university.degree";"admin.";"single";"may";999.0;"nonexistent";0.0;2009;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"student";3.0;"telephone";"no";"unknown";"student";"single";"apr";999.0;"nonexistent";0.0;2009;"0-1229.5";"0-30.5";;"'(93.056333-93.484]'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"admin.";1.0;"telephone";"no";"unknown";"admin.";"single";"jul";999.0;"nonexistent";0.0;2009;"0-1229.5";"0-30.5";;"'(-inf-92.628667]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(5029.725-5095.85]'";"yes"
"technician";2.0;"telephone";"no";"basic.9y";"technician";"single";"apr";999.0;"nonexistent";0.0;2009;"0-1229.5";"0-30.5";;"'(93.056333-93.484]'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"admin.";3.0;"telephone";"no";"high.school";"admin.";"single";"apr";999.0;"nonexistent";0.0;2009;"0-1229.5";"0-30.5";;"'(93.056333-93.484]'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"admin.";1.0;"telephone";"no";"high.school";"admin.";"single";"jul";999.0;"nonexistent";0.0;2009;"0-1229.5";"'(44-57.5]'";;"'(-inf-92.628667]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(5029.725-5095.85]'";"yes"
"blue-collar";1.0;"telephone";"no";"unknown";"blue-collar";"single";"jul";999.0;"nonexistent";0.0;2009;"0-1229.5";"'(30.5-44]'";;"'(-inf-92.628667]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(5029.725-5095.85]'";"yes"
"admin.";2.0;"telephone";"no";"high.school";"admin.";"single";"dec";999.0;"nonexistent";0.0;2009;"0-1229.5";"'(44-57.5]'";"<21959.5";"'(92.628667-93.056333]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"admin.";1.0;"telephone";"no";"university.degree";"admin.";"single";"dec";999.0;"nonexistent";0.0;2009;"0-1229.5";"0-30.5";"<21959.5";"'(92.628667-93.056333]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"technician";1.0;"telephone";"no";"university.degree";"technician";"single";"apr";999.0;"nonexistent";0.0;2010;"0-1229.5";"'(44-57.5]'";;"'(93.484-93.911667]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"services";1.0;"telephone";"no";"high.school";"services";"single";"may";999.0;"nonexistent";0.0;2010;"0-1229.5";"0-30.5";;"'(93.484-93.911667]'";"'(-42.833333--38.85]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"services";3.0;"telephone";"no";"high.school";"services";"single";"mar";999.0;"nonexistent";0.0;2010;"0-1229.5";"'(30.5-44]'";;"'(93.056333-93.484]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"blue-collar";2.0;"telephone";"no";"basic.9y";"blue-collar";"single";"jul";999.0;"nonexistent";0.0;2010;"0-1229.5";"'(44-57.5]'";;"'(93.911667-94.339333]'";"'(-42.833333--38.85]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"blue-collar";1.0;"telephone";"no";"high.school";"blue-collar";"single";"mar";999.0;"nonexistent";0.0;2010;"0-1229.5";"'(30.5-44]'";;"'(93.056333-93.484]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"student";4.0;"telephone";"no";"unknown";"student";"single";"may";999.0;"nonexistent";0.0;2010;"0-1229.5";"0-30.5";;"'(93.484-93.911667]'";"'(-42.833333--38.85]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"technician";1.0;"telephone";"no";"university.degree";"technician";"single";"apr";999.0;"nonexistent";0.0;2011;"0-1229.5";"'(44-57.5]'";;"'(93.484-93.911667]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"services";1.0;"telephone";"no";"high.school";"services";"single";"may";999.0;"nonexistent";0.0;2011;"0-1229.5";"0-30.5";;"'(93.484-93.911667]'";"'(-42.833333--38.85]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"blue-collar";2.0;"telephone";"no";"basic.9y";"blue-collar";"single";"jul";999.0;"nonexistent";0.0;2011;"0-1229.5";"'(44-57.5]'";;"'(93.911667-94.339333]'";"'(-42.833333--38.85]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"student";4.0;"telephone";"no";"unknown";"student";"single";"may";999.0;"nonexistent";0.0;2011;"0-1229.5";"0-30.5";;"'(93.484-93.911667]'";"'(-42.833333--38.85]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"admin.";2.0;"telephone";"no";"high.school";"admin.";"divorced";"nov";6.0;"success";1.0;2009;"'(1229.5-2459]'";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"services";2.0;"telephone";"no";"basic.6y";"services";"divorced";"may";10.0;"success";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"blue-collar";2.0;"telephone";"no";"professional.course";"blue-collar";"divorced";"nov";7.0;"success";2.0;2010;"0-1229.5";"'(44-57.5]'";;"'(94.339333-inf)'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"entrepreneur";7.0;"telephone";"no";"university.degree";"entrepreneur";"divorced";"oct";11.0;"success";2.0;2010;"0-1229.5";"'(44-57.5]'";;"'(94.339333-inf)'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"retired";2.0;"telephone";"no";"high.school";"retired";"divorced";"may";4.0;"success";2.0;2010;"0-1229.5";"'(57.5-71]'";;"'(93.484-93.911667]'";"'(-42.833333--38.85]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"blue-collar";2.0;"telephone";"no";"professional.course";"blue-collar";"divorced";"nov";7.0;"success";2.0;2011;"0-1229.5";"'(44-57.5]'";;"'(94.339333-inf)'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"entrepreneur";7.0;"telephone";"no";"university.degree";"entrepreneur";"divorced";"oct";11.0;"success";2.0;2011;"0-1229.5";"'(44-57.5]'";;"'(94.339333-inf)'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"retired";2.0;"telephone";"no";"high.school";"retired";"divorced";"may";4.0;"success";2.0;2011;"0-1229.5";"'(57.5-71]'";;"'(93.484-93.911667]'";"'(-42.833333--38.85]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"blue-collar";4.0;"telephone";"no";"basic.6y";"blue-collar";"married";"may";3.0;"success";2.0;2009;"0-1229.5";"'(44-57.5]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"technician";1.0;"telephone";"no";"university.degree";"technician";"married";"sep";3.0;"success";2.0;2009;"0-1229.5";"'(30.5-44]'";;"'(-inf-92.628667]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"admin.";1.0;"telephone";"no";"university.degree";"admin.";"married";"nov";3.0;"success";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"management";2.0;"telephone";"no";"unknown";"management";"married";"dec";8.0;"success";1.0;2009;"'(1229.5-2459]'";"'(30.5-44]'";"<21959.5";"'(92.628667-93.056333]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"blue-collar";1.0;"telephone";"no";"professional.course";"blue-collar";"married";"may";6.0;"success";2.0;2010;"0-1229.5";"'(44-57.5]'";;"'(93.484-93.911667]'";"'(-42.833333--38.85]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"retired";1.0;"telephone";"no";"university.degree";"retired";"married";"may";3.0;"success";4.0;2010;"0-1229.5";"'(71-84.5]'";;"'(93.484-93.911667]'";"'(-42.833333--38.85]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"admin.";1.0;"telephone";"no";"unknown";"admin.";"married";"apr";6.0;"success";1.0;2010;"0-1229.5";"'(44-57.5]'";;"'(93.484-93.911667]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"blue-collar";1.0;"telephone";"no";"professional.course";"blue-collar";"married";"may";6.0;"success";2.0;2011;"0-1229.5";"'(44-57.5]'";;"'(93.484-93.911667]'";"'(-42.833333--38.85]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"retired";1.0;"telephone";"no";"university.degree";"retired";"married";"may";3.0;"success";4.0;2011;"0-1229.5";"'(71-84.5]'";;"'(93.484-93.911667]'";"'(-42.833333--38.85]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"admin.";1.0;"telephone";"no";"unknown";"admin.";"married";"apr";6.0;"success";1.0;2011;"0-1229.5";"'(44-57.5]'";;"'(93.484-93.911667]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"blue-collar";2.0;"telephone";"no";"high.school";"blue-collar";"single";"nov";3.0;"success";1.0;2009;"0-1229.5";"0-30.5";;"'(92.628667-93.056333]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"admin.";1.0;"telephone";"no";"university.degree";"admin.";"single";"sep";7.0;"success";1.0;2009;"0-1229.5";"0-30.5";;"'(-inf-92.628667]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"admin.";3.0;"telephone";"no";"university.degree";"admin.";"single";"oct";6.0;"success";2.0;2009;"0-1229.5";"'(30.5-44]'";;"'(-inf-92.628667]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"student";1.0;"telephone";"no";"high.school";"student";"single";"jun";9.0;"success";1.0;2010;"0-1229.5";"0-30.5";;"'(93.911667-94.339333]'";"'(-42.833333--38.85]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"technician";1.0;"telephone";"no";"university.degree";"technician";"single";"jul";6.0;"success";2.0;2010;"0-1229.5";"'(30.5-44]'";;"'(93.911667-94.339333]'";"'(-42.833333--38.85]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"student";1.0;"telephone";"no";"unknown";"student";"single";"apr";4.0;"success";1.0;2010;"0-1229.5";"0-30.5";;"'(93.484-93.911667]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"student";1.0;"telephone";"no";"basic.4y";"student";"single";"nov";13.0;"success";2.0;2010;"0-1229.5";"0-30.5";;"'(94.339333-inf)'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"admin.";1.0;"telephone";"no";"university.degree";"admin.";"single";"mar";3.0;"success";2.0;2010;"0-1229.5";"'(30.5-44]'";;"'(93.056333-93.484]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"student";1.0;"telephone";"no";"unknown";"student";"single";"may";3.0;"success";1.0;2010;"0-1229.5";"0-30.5";;"'(93.484-93.911667]'";"'(-42.833333--38.85]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"technician";1.0;"telephone";"no";"basic.9y";"technician";"single";"jul";6.0;"success";1.0;2010;"0-1229.5";"0-30.5";;"'(93.911667-94.339333]'";"'(-42.833333--38.85]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"student";1.0;"telephone";"no";"high.school";"student";"single";"jun";9.0;"success";1.0;2011;"0-1229.5";"0-30.5";;"'(93.911667-94.339333]'";"'(-42.833333--38.85]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"technician";1.0;"telephone";"no";"university.degree";"technician";"single";"jul";6.0;"success";2.0;2011;"0-1229.5";"'(30.5-44]'";;"'(93.911667-94.339333]'";"'(-42.833333--38.85]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"student";1.0;"telephone";"no";"unknown";"student";"single";"apr";4.0;"success";1.0;2011;"0-1229.5";"0-30.5";;"'(93.484-93.911667]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"student";1.0;"telephone";"no";"basic.4y";"student";"single";"nov";13.0;"success";2.0;2011;"0-1229.5";"0-30.5";;"'(94.339333-inf)'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"admin.";1.0;"telephone";"no";"university.degree";"admin.";"single";"mar";3.0;"success";2.0;2011;"0-1229.5";"'(30.5-44]'";;"'(93.056333-93.484]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"student";1.0;"telephone";"no";"unknown";"student";"single";"may";3.0;"success";1.0;2011;"0-1229.5";"0-30.5";;"'(93.484-93.911667]'";"'(-42.833333--38.85]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"technician";1.0;"telephone";"no";"basic.9y";"technician";"single";"jul";6.0;"success";1.0;2011;"0-1229.5";"0-30.5";;"'(93.911667-94.339333]'";"'(-42.833333--38.85]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"admin.";2.0;"telephone";"no";"high.school";"admin.";"married";"jul";999.0;"failure";1.0;2010;"0-1229.5";"'(30.5-44]'";;"'(93.911667-94.339333]'";"'(-42.833333--38.85]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"admin.";2.0;"telephone";"no";"high.school";"admin.";"married";"jul";999.0;"failure";1.0;2011;"0-1229.5";"'(30.5-44]'";;"'(93.911667-94.339333]'";"'(-42.833333--38.85]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"admin.";3.0;"telephone";"no";"university.degree";"admin.";"single";"nov";999.0;"failure";1.0;2009;"0-1229.5";"'(44-57.5]'";;"'(92.628667-93.056333]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"services";5.0;"telephone";"no";"high.school";"services";"divorced";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(44-57.5]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"blue-collar";1.0;"telephone";"no";"unknown";"blue-collar";"divorced";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"admin.";2.0;"telephone";"no";"high.school";"admin.";"divorced";"jun";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(44-57.5]'";">21959.5";"'(94.339333-inf)'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"admin.";1.0;"telephone";"no";"high.school";"admin.";"divorced";"apr";999.0;"nonexistent";0.0;2010;"0-1229.5";"'(30.5-44]'";;"'(93.484-93.911667]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"admin.";1.0;"telephone";"no";"high.school";"admin.";"divorced";"apr";999.0;"nonexistent";0.0;2011;"0-1229.5";"'(30.5-44]'";;"'(93.484-93.911667]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"admin.";1.0;"telephone";"no";"high.school";"admin.";"married";"oct";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";;"'(93.484-93.911667]'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"blue-collar";1.0;"telephone";"no";"basic.4y";"blue-collar";"married";"dec";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";"'(2.104333-3.574667]'";"'(5161.975-inf)'";"yes"
"blue-collar";1.0;"telephone";"no";"professional.course";"blue-collar";"married";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"entrepreneur";1.0;"telephone";"no";"university.degree";"entrepreneur";"married";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(44-57.5]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"entrepreneur";2.0;"telephone";"no";"high.school";"entrepreneur";"married";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"blue-collar";2.0;"telephone";"no";"unknown";"blue-collar";"married";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(44-57.5]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"management";4.0;"telephone";"no";"basic.4y";"management";"married";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"technician";1.0;"telephone";"no";"university.degree";"technician";"married";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(44-57.5]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"blue-collar";4.0;"telephone";"no";"basic.9y";"blue-collar";"married";"may";999.0;"nonexistent";0.0;2008;"'(1229.5-2459]'";"'(30.5-44]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"services";3.0;"telephone";"no";"high.school";"services";"married";"may";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"self-employed";2.0;"telephone";"no";"professional.course";"self-employed";"married";"jun";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(94.339333-inf)'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"housemaid";1.0;"telephone";"no";"basic.6y";"housemaid";"married";"aug";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(30.5-44]'";">21959.5";"'(93.056333-93.484]'";"'(-38.85--34.866667]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"admin.";1.0;"telephone";"no";"high.school";"admin.";"married";"jun";999.0;"nonexistent";0.0;2008;"'(1229.5-2459]'";"'(30.5-44]'";">21959.5";"'(94.339333-inf)'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"blue-collar";3.0;"telephone";"no";"high.school";"blue-collar";"married";"jun";999.0;"nonexistent";0.0;2008;"0-1229.5";"'(44-57.5]'";">21959.5";"'(94.339333-inf)'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
